No.,企業名,カテゴリ,運営会社,設立年,本社所在地,代表電話,問い合わせ先,公式URL,店舗数,主要サービス,営業状況,備考
1,エステティックTBC,エステチェーン,TBCグループ株式会社,1976年3月,東京都新宿区西新宿1-25-1 新宿センタービル43F,03-3345-1311,0120-707-434,https://www.tbc.co.jp/,173店舗,脱毛・フェイシャル・ボディ,営業中,全国47都道府県展開
2,ジェイエステティック,エステチェーン,株式会社ザ・フォウルビ,1979年11月,栃木県宇都宮市江曽島本町12-6,028-659-0820,フリーダイヤル: 0120-169-119,https://www.j-esthe.com/,89店舗以上,美肌脱毛・フェイシャル,営業中,創業40年以上・全国展開
3,たかの友梨ビューティクリニック,エステチェーン,株式会社不二ビューティ,1979年11月,東京都渋谷区代々木3-37-5,03-5304-1107,0120-73-1107,https://www.takanoyuri.com/,70店舗,エステティック全般,営業中,高級路線・老舗ブランド
4,スリムビューティハウス,エステチェーン,株式会社スリムビューティハウス,1987年10月,東京都港区新橋6-4-9 北海ビル新橋3F,03-3486-3636,0120-53-3636,https://slim.co.jp/,55店舗,ボディ・フェイシャル,営業中,東洋美容理論導入
5,ミスパリ,エステチェーン,株式会社シェイプアップハウス,1984年3月,東京都中央区銀座5-10-2,03-6757-6502,0120-860-239,https://www.miss-paris.co.jp/,93店舗,総合エステ,営業中,売上高ランキング1位(2024年)
6,ラ・パルレ,エステチェーン,株式会社ニューアート・ヘルス＆ビューティー,2014年7月,東京都中央区銀座1-15-2,03-5579-9195,0120-860-239,https://www.parler.co.jp/,22店舗,エステティック全般,営業中,1978年創業の老舗
7,ソシエ,エステチェーン,株式会社ソシエ・ワールド,1960年5月,東京都渋谷区代々木4-33-10,03-5843-5840,0120-413661,https://www.socie.jp/,全国展開,トータルビューティー,営業中,TBCグループが買収
8,MAQUIA,まつげエクステ,株式会社MAQUIA,2012年4月,東京都新宿区西新宿6-15-1,03-5990-5806,店舗により異なる,https://www.e-maquia.jp/,170店舗,まつげエクステ専門,営業中,まつエク最大手
9,Beauty Face,シェービングサロン,株式会社リビアス,2002年2月,大阪府大阪市淀川区西中島1-11-34,06-6301-1138,店舗により異なる,https://beauty-face.jp/,75店舗以上,顔そり・シェービング,営業中,女性専門サロン
10,ポーラ ザ ビューティー,エステ・化粧品,株式会社ポーラ,1946年7月,東京都品川区西五反田2-2-3,03-3494-7111,0120-117111,https://www.pola.co.jp/,全国展開,化粧品・エステ融合,営業中,ポーラ・オルビスHD傘下
11,エルセーヌ,エステチェーン,株式会社TLC,2017年10月,東京都台東区小島2-17-12,記載なし,0120-31-3339,https://www.elleseine.co.jp/,約50店舗,総合エステ,営業中,2024年4月より株式会社TLCが運営
12,PMK,エステチェーン,株式会社PMKメディカルラボ,1991年11月,東京都新宿区新宿1-26-1,03-5363-4421,店舗により異なる,https://www.pmk-j.com/,全国展開,痩身・フェイシャル・脱毛,営業中,1992年創業・医療連携
13,ヴァン・ベール,エステチェーン,株式会社ビ・メーク,2002年7月(創業1983年),山口県山口市小郡花園町5-3,083-974-0588,0120-885-042,https://www.van-veal.com/,全国展開,トータルエステ,営業中,山口本社・全国展開
14,クイーンズウェイ,リフレクソロジー,株式会社RAJA,1996年7月,東京都新宿区市谷仲之町3-5,各店舗へ直接,問い合わせフォームのみ,https://www.queensway-group.jp/,約50店舗,英国式リフレクソロジー,営業中,1997年開業・リフレ専門
15,シーズ・ラボ,メディカルエステ,株式会社シーズ・ラボ,1995年12月,東京都渋谷区千駄ヶ谷4-10-8,店舗により異なる,店舗により異なる,https://www.ci-z.com/,25店舗,メディカルエステ,営業中,ドクターシーラボ系列
16,ミュゼプラチナム,脱毛エステ,新生ミュゼプラチナム株式会社,再設立,東京都千代田区,記載なし,0120-055-065(通販),https://www.musee-pla.com/,直営12店舗+FC144店舗,美容脱毛,営業中,旧運営会社破産・現在新体制
17,RAYVIS,総合エステ,株式会社ケンジ,1985年4月,東京都中央区銀座1-18-2,03-5524-1305,info@rayvis.jp,https://www.rayvis.jp/,全国展開,ボディ・フェイシャル・脱毛,営業中,年商35億円
18,メナードフェイシャルサロン,エステチェーン,日本メナード化粧品株式会社,1959年11月,愛知県名古屋市中区丸の内3-18-15,052-961-3181,0120-164601,https://www.menard.co.jp/,約2740店舗,フェイシャル中心,営業中,化粧品メーカー系列・最多店舗数
19,ビー・エスコート,脱毛サロン,株式会社セピアプロミクス,1997年7月,愛知県名古屋市中村区,03-6735-3058(破産管財人),be-escort-kanzai@oishi-law.jp,-,約20店舗(全店閉鎖),脱毛専門,破産(2024年11月),2024年11月破産・除外対象
20,資生堂,化粧品メーカー,株式会社資生堂,1872年,東京都中央区銀座7-5-5,03-3572-5111,0120-81-4710,https://www.shiseido.co.jp/,本社,化粧品全般,営業中,国内化粧品売上1位・東証プライム
21,タカラベルモント,美容機器メーカー,タカラベルモント株式会社,1921年,大阪府大阪市中央区東心斎橋2-1-1,06-6213-5945,要確認,https://www.takarabelmont.co.jp/,本社+東京本社(港区赤坂7-1-19),理美容・サロン設備機器,営業中,理美容椅子で国内トップシェア
22,ヤーマン,美容機器メーカー,ヤーマン株式会社,1978年5月,東京都江東区東陽2-4-2 新宮ビル,03-5665-7330,要確認,https://www.ya-man.co.jp/,本社,家庭用美容機器・化粧品,営業中,東証プライム上場
23,湘南美容クリニック,美容クリニック,SBCメディカルグループ(医療法人社団湘美会),2000年,東京都新宿区西新宿6-5-1 新宿アイランドタワー,0120-489-100,要確認,https://www.s-b-c.net/,全国展開,美容外科・医療脱毛,営業中,美容医療大手
24,品川美容外科,美容クリニック,医療法人社団翔友会,1988年,東京都港区港南2-5-3 オリックス品川ビル,0120-575-900,要確認,https://www.shinagawa.com/,全国39院,美容外科・美容皮膚科,営業中,老舗美容外科
25,TCB東京中央美容外科,美容クリニック,株式会社メディカルフロンティア,2014年12月,東京都新宿区新宿3-1-20 メットライフ新宿スクエア7F,0120-197-250,要確認,https://aoki-tsuyoshi.com/,全国展開,美容外科・美容皮膚科,営業中,急成長チェーン
26,ネイルクイック,ネイルサロン,株式会社ノンストレス,要確認,東京都渋谷区広尾1-3-1 荻原ビル,03-5447-5583,要確認,https://www.nailquick.co.jp/,全国展開,ネイルサロン,営業中,代表:坂野尚子
27,FASTNAIL,ネイルサロン,株式会社コンヴァノ,要確認,東京都渋谷区桜丘町22-14 NESビルS棟,03-3770-1190,要確認,https://fastnail.jp/,東京・大阪・京都等,ネイルサロン,営業中,定額制ネイル
